Date,Symbol,Series,Prev Close,open,high,low,last,close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,signal,quantity,netWorth,balance
1996-01-25,BLUEDART,EQ,84.0,86.0,86.25,86.0,,86.25,86.17,300,2585000000.0,,,,sell,27.842544968343077,81254.82013432811,78774.99063062965
1996-01-29,BLUEDART,EQ,86.25,86.25,86.0,84.0,,85.85,85.71,3600,30857000000.0,,,,buy,862.8921346443656,81165.2731161619,7014.29434966945
1996-01-30,BLUEDART,EQ,85.85,88.0,88.0,88.0,,88.0,88.0,200,1760000000.0,,,,sell,349.6904605288157,82948.80219837363,52130.87992451567
1996-01-31,BLUEDART,EQ,88.0,88.0,88.0,86.0,,87.5,87.38,400,3495000000.0,,,,buy,654.2145923524467,82728.79522078704,25458.37252841339
1996-02-01,BLUEDART,EQ,87.5,88.0,88.0,87.0,,87.0,87.5,800,7000000000.0,,,,sell,510.4491463776436,82375.04206307625,37953.45873442145
1996-02-02,BLUEDART,EQ,87.0,90.0,90.0,90.0,,90.0,90.0,100,900000000.0,,,,sell,276.8302210299122,83893.88190840938,58958.136312435985
1996-02-06,BLUEDART,EQ,90.0,90.0,98.0,97.0,,97.0,97.41,500,4870500000.0,,,,buy,527.4978726943381,85810.66775233747,34619.05933877523
1996-02-07,BLUEDART,EQ,97.0,98.0,105.0,98.0,,105.0,102.63,300,3079000000.0,,,,sell,182.06856224661675,90006.33597168073,70852.86685818897
1996-02-08,BLUEDART,EQ,105.0,98.0,115.0,98.0,,110.5,105.92,1200,12710000000.0,,,,sell,17.375399230649066,90971.44298644012,89033.26277694013
1996-02-09,BLUEDART,EQ,110.5,115.0,115.0,113.0,,113.0,114.74,800,9179500000.0,,,,buy,704.5274008406082,90996.68289000347,11307.438418832826
1996-02-12,BLUEDART,EQ,113.0,113.0,120.0,113.0,,118.0,118.0,1000,11800000000.0,,,,sell,38.41367608495557,94441.67171802459,89830.25652047867
1996-02-13,BLUEDART,EQ,118.0,118.0,116.0,115.0,,115.0,115.5,200,2310000000.0,,,,buy,619.9386313609866,94247.82927024856,22888.01129387837
1996-02-14,BLUEDART,EQ,115.0,115.0,118.0,115.0,,118.0,116.38,1600,18620000000.0,,,,sell,138.68786660355312,96040.76979447479,79618.81394501415
1996-02-15,BLUEDART,EQ,118.0,119.0,119.0,117.0,,117.0,117.67,300,3530000000.0,,,,buy,740.5298182946383,95845.29433762986,9132.890088809334
1996-02-16,BLUEDART,EQ,117.0,118.9,120.0,112.0,,114.0,119.04,2300,27379000000.0,,,,sell,147.0420609987592,93553.2893743981,76722.83681620781
1996-02-19,BLUEDART,EQ,114.0,121.0,123.0,121.0,,121.0,121.72,1400,17040500000.0,,,,buy,253.81872153748745,94514.92619705768,63789.94091509651
1996-02-20,BLUEDART,EQ,121.0,121.0,123.0,121.0,,122.0,121.7,1100,13387000000.0,,,,sell,135.01533838734963,94755.82494266998,78269.459646669
1996-02-22,BLUEDART,EQ,122.0,124.0,124.0,120.5,,122.0,123.35,1300,16035000000.0,,,,buy,589.6171356134005,94741.33092992565,22752.578965829227
1996-02-23,BLUEDART,EQ,122.0,121.5,122.5,121.0,,122.5,121.79,1400,17050000000.0,,,,buy,695.9056287937558,94980.67807847078,9719.21821082111
1996-02-26,BLUEDART,EQ,122.5,118.0,123.0,118.0,,123.0,121.81,700,8526500000.0,,,,sell,10.687212526628628,95315.61055245307,93916.8015464769
