Date,Symbol,Series,Prev Close,open,high,low,Last,close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,signal,quantity,netWorth,balance
2009-09-07,ADANIPOWER,EQ,98.65,99.8,101.15,99.1,100.75,100.9,100.34,2844787,28544085755000.0,,1896368,0.6666,buy,814.2676942342033,101711.1280110536,19536.28118021034
2009-09-08,ADANIPOWER,EQ,100.9,101.05,102.6,100.15,101.4,101.25,101.6,2808708,28535461895000.0,,1497511,0.5332,sell,810.7387912050752,101980.88522142342,19893.225310477857
2009-09-09,ADANIPOWER,EQ,101.25,99.1,104.5,99.1,103.0,103.2,102.96,6299273,64860172235000.0,,3427380,0.5441,sell,202.45521555095877,103561.46856284162,82605.31545297516
2009-09-10,ADANIPOWER,EQ,103.2,104.35,104.95,101.9,102.2,102.4,103.53,5353078,55419684229999.99,,2810229,0.525,buy,816.3866897040069,103336.72952539334,19675.865916749768
2009-09-11,ADANIPOWER,EQ,102.4,103.15,103.5,101.8,103.35,103.25,102.86,2217235,22807211515000.0,,1213690,0.5474,buy,839.3261253763685,103967.79162868849,17305.000686845262
2009-09-14,ADANIPOWER,EQ,103.25,102.8,103.1,101.25,102.0,101.8,102.02,1832718,18697981870000.0,,1138730,0.6213000000000001,sell,308.20195227504826,102748.40025015957,71319.37306773795
2009-09-15,ADANIPOWER,EQ,101.8,102.1,102.35,101.3,101.4,101.55,101.7,1692842,17216180075000.0,,1278909,0.7555,sell,269.7284910181834,102617.2813212691,75222.44607838194
2009-09-16,ADANIPOWER,EQ,101.55,101.75,102.6,100.55,101.3,100.95,101.45,3279956,33275437385000.004,,2143706,0.6536,buy,908.1861567805507,102451.53724666755,10705.692418312246
2009-09-17,ADANIPOWER,EQ,100.95,101.6,101.9,100.2,101.3,100.9,100.94,1577759,15926426015000.0,,1039498,0.6587999999999999,sell,885.9420364287408,102341.67563746982,12947.879730066368
2009-09-18,ADANIPOWER,EQ,100.9,101.1,101.45,100.2,101.1,100.95,100.79,1643947,16568659369999.998,,1200242,0.7301000000000001,sell,28.16532203116094,102383.72830754776,99453.84648918363
2009-09-22,ADANIPOWER,EQ,100.95,101.0,101.8,100.0,101.6,101.45,101.05,1514581,15304724019999.998,,1084602,0.7161,buy,461.12413650631737,102311.21840924492,55486.251088950514
2009-09-23,ADANIPOWER,EQ,101.45,101.5,102.0,100.4,101.4,101.35,101.12,2864061,28961248750000.0,,2431081,0.8488,sell,30.79446665665199,102221.18232386577,99056.54921617484
2009-09-24,ADANIPOWER,EQ,101.35,98.55,101.5,98.3,101.05,100.4,100.57,4318328,43428375070000.0,,3646823,0.8445,buy,383.8395843706842,102148.3136685027,63575.37366786752
2009-09-25,ADANIPOWER,EQ,100.4,100.9,101.0,100.1,100.8,100.85,100.62,2091454,21044260960000.0,,1607933,0.7687999999999999,buy,1006.2492814390198,102285.59575165101,742.5857005765429
2009-09-29,ADANIPOWER,EQ,100.85,100.85,101.95,100.5,101.85,101.7,100.95,1811552,18287975165000.0,,1280467,0.7068000000000001,sell,879.2140914224873,103078.13762292486,13649.14504643322
2009-09-30,ADANIPOWER,EQ,101.7,101.7,102.2,101.15,102.0,101.9,101.78,1468523,14946005840000.0,,1096800,0.7469,buy,920.0843774382412,103241.06096238467,9480.298219282893
2009-10-01,ADANIPOWER,EQ,101.9,102.0,102.7,101.4,102.3,102.05,102.03,1217318,12419886045000.0,,750204,0.6163000000000001,sell,813.9687726862625,103374.9089368554,20298.56658675738
2009-10-05,ADANIPOWER,EQ,102.05,101.0,102.0,100.4,101.25,100.8,100.91,786188,7933739084999.999,,538192,0.6846,sell,412.0675136507992,102346.61887353264,60769.701850621306
2009-10-06,ADANIPOWER,EQ,100.8,100.5,101.65,100.05,101.2,101.0,100.57,652793,6565018250000.0,,435419,0.667,sell,209.72858732933204,102388.52072935202,81185.49717753101
2009-10-07,ADANIPOWER,EQ,101.0,100.8,101.6,100.5,101.0,100.85,100.96,765322,7726492440000.001,,496317,0.6485,buy,646.7042985408171,102336.62520969415,37072.42770137707
2009-10-08,ADANIPOWER,EQ,100.85,101.0,104.9,100.5,101.4,101.45,102.5,1708226,17508721344999.998,,641527,0.3756,buy,798.6858175414003,102680.57878834297,21638.4840736653
2009-10-09,ADANIPOWER,EQ,101.45,102.0,102.45,100.6,101.25,101.25,101.42,730826,7411809484999.999,,354451,0.485,sell,763.9015859152914,102505.42309973208,25156.86562235668
2009-10-12,ADANIPOWER,EQ,101.25,101.2,103.95,100.75,101.6,101.95,102.15,1328915,13574786230000.002,,741827,0.5582,sell,634.3326653220545,103036.63230642064,38353.207525382706
2009-10-14,ADANIPOWER,EQ,101.95,101.6,103.3,101.3,101.7,101.8,102.16,1089817,11133916165000.0,,713534,0.6547,buy,895.8876296036183,102928.27285516786,11700.28586615565
2009-10-15,ADANIPOWER,EQ,101.8,102.55,102.8,100.0,100.1,100.1,101.03,1169229,11812279865000.0,,769396,0.658,sell,334.59965363795595,101378.63758947783,67829.02733392428
2009-10-16,ADANIPOWER,EQ,100.1,100.8,101.5,100.05,100.1,100.3,100.49,1342184,13487589725000.0,,998534,0.7440000000000001,buy,1002.4724878142715,101389.37259381128,774.3944207719614
2009-10-17,ADANIPOWER,EQ,100.3,101.0,101.45,100.65,100.7,100.8,100.89,130851,1320102395000.0,,75540,0.5773,sell,448.41017745097065,101823.62119245053,56568.02582450806
2009-10-20,ADANIPOWER,EQ,100.8,101.45,101.5,99.85,100.35,100.3,100.3,1009577,10126560885000.0,,799163,0.7916,buy,871.8880433002939,101543.56662284042,14050.721049876258
2009-10-21,ADANIPOWER,EQ,100.3,100.15,100.7,99.7,100.05,100.0,100.04,1110319,11107519385000.0,,855990,0.7709,buy,935.987041954294,101239.52537990565,7634.411284610852
2009-10-22,ADANIPOWER,EQ,100.0,99.75,100.4,99.5,99.95,99.9,99.94,601857,6014711480000.0,,469508,0.7801,sell,418.28714114083084,101139.51677584482,59300.91315578456
2009-10-23,ADANIPOWER,EQ,99.9,100.0,102.35,100.0,100.35,100.45,101.02,640381,6469165585000.0,,374543,0.5849000000000001,sell,5.726781575537871,101317.85648338102,100701.1595859999
2009-10-26,ADANIPOWER,EQ,100.45,100.0,100.8,99.2,99.55,99.55,99.8,626330,6250471530000.0,,512773,0.8187000000000001,buy,881.6401257570537,101271.2606918447,13416.788999316748
2009-10-27,ADANIPOWER,EQ,99.55,99.2,99.65,94.25,97.95,97.9,97.74,1660868,16233737955000.002,,1152299,0.6938,buy,998.5643745037265,99729.35731093232,1958.4581630651846
2009-10-28,ADANIPOWER,EQ,97.9,97.4,97.85,95.0,97.0,97.0,96.92,1515118,14683803660000.0,,1287563,0.8498000000000001,sell,960.6789169537161,98819.20248992665,5629.672656033844
2009-10-29,ADANIPOWER,EQ,97.0,96.0,96.75,95.1,95.5,95.4,95.78,225122,2156302585000.0,,127399,0.5659000000000001,buy,991.1530536392929,97278.44133341836,2719.5327835900125
2009-10-30,ADANIPOWER,EQ,95.4,96.5,100.5,96.0,97.25,97.8,98.81,1484787,14670884365000.0,,936145,0.6305,sell,980.6449829010891,99654.30142951285,3746.194412468153
2009-11-03,ADANIPOWER,EQ,97.8,95.5,97.25,94.8,95.8,95.95,96.14,1322845,12717887280000.0,,1136049,0.8588,sell,633.2727451058179,97839.08052182765,37043.23026270797
2009-11-04,ADANIPOWER,EQ,95.95,96.5,97.25,92.3,93.55,93.65,94.33,2237921,21109263245000.0,,1839467,0.8220000000000001,buy,693.1114958101832,96349.22284186783,31433.727360240693
2009-11-05,ADANIPOWER,EQ,93.65,93.7,93.75,90.1,91.1,90.8,91.23,2449422,22346206790000.0,,1873625,0.7648999999999999,sell,0.6609445679335977,94368.25117980532,94245.36290298417
2009-11-06,ADANIPOWER,EQ,90.8,96.1,97.3,91.15,92.2,92.5,93.71,3525173,33033988625000.0,,2321588,0.6586,buy,131.31182613645575,94306.50027551803,82148.07115135078
2009-11-09,ADANIPOWER,EQ,92.5,93.45,93.9,91.25,93.1,93.2,92.76,1057406,9808339655000.0,,618526,0.5849000000000001,buy,425.7546999333366,94386.33334726846,54678.553237643624
2009-11-10,ADANIPOWER,EQ,93.2,94.0,95.65,93.5,94.5,94.2,94.7,458451,4341544000000.0,,238123,0.5194,buy,438.7026251882413,94784.64597136393,53457.63898407259
2009-11-11,ADANIPOWER,EQ,94.2,94.6,94.95,93.1,94.05,93.85,93.93,606268,5694948465000.0,,488567,0.8059000000000001,sell,246.64739605765746,94629.88035798904,71463.99785472397
2009-11-12,ADANIPOWER,EQ,93.85,93.0,95.0,93.0,94.8,94.2,94.06,513956,4834213450000.0,,415765,0.809,buy,283.80431203485466,94698.18256335531,67960.31618818695
2009-11-13,ADANIPOWER,EQ,94.2,94.25,95.5,92.5,93.1,93.0,93.48,608522,5688597180000.0,,422979,0.6951,buy,331.11704925238985,94354.11720742843,63555.831542394946
2009-11-16,ADANIPOWER,EQ,93.0,93.95,94.3,91.75,92.05,92.25,92.31,1656931,15294714565000.0,,1183075,0.7140000000000001,buy,691.2126149142825,94101.37933592791,30303.796794153037
2009-11-17,ADANIPOWER,EQ,92.25,92.8,93.75,91.75,92.35,92.2,92.79,1247820,11578187760000.0,,915611,0.7338,buy,736.1163202399691,94033.59988924989,26159.535041493706
2009-11-18,ADANIPOWER,EQ,92.2,92.3,95.05,91.6,94.3,94.5,93.29,1422065,13266669255000.0,,960219,0.6752,sell,606.8078609523762,95722.5273041708,38366.96479476856
2009-11-19,ADANIPOWER,EQ,94.5,94.55,97.6,92.5,93.1,92.95,94.99,1696984,16119682219999.998,,578063,0.3406,sell,126.4175426605866,94769.75547029193,82974.59259990518
2009-11-20,ADANIPOWER,EQ,92.95,92.8,93.85,92.8,93.2,93.1,93.24,392123,3656089675000.0,,212634,0.5423,buy,623.3231479111341,94744.0658216058,36666.41883923039
2009-11-23,ADANIPOWER,EQ,93.1,92.6,95.9,92.6,95.8,94.9,94.51,548489,5183697535000.0,,308231,0.562,sell,136.08823368417393,95819.78557599703,82858.77360600878
2009-11-24,ADANIPOWER,EQ,94.9,94.5,96.85,93.65,95.8,95.65,95.87,734081,7037820634999.999,,388113,0.5287,buy,396.14105639839113,95875.61315790002,57959.84706090129
2009-11-25,ADANIPOWER,EQ,95.65,96.0,96.9,94.3,94.8,94.65,95.86,552796,5298954345000.0,,381384,0.6899,buy,442.1111693508304,95454.59804900902,53604.42479876197
2009-11-26,ADANIPOWER,EQ,94.65,94.0,96.5,94.0,94.2,94.45,95.19,403386,3839843470000.001,,194383,0.4819,buy,727.7038319560326,95361.82474394789,26603.223588717563
2009-11-27,ADANIPOWER,EQ,94.45,93.95,94.4,92.75,94.2,93.85,93.37,373515,3487389295000.0005,,235815,0.6313000000000001,buy,764.4310850346568,94898.22821779121,23152.92403458725
2009-11-30,ADANIPOWER,EQ,93.85,95.0,95.5,94.15,94.3,94.4,94.89,280699,2663690995000.0,,177356,0.6318,buy,1005.9825235919345,95315.21846185887,327.6657789804267
2009-12-01,ADANIPOWER,EQ,94.4,94.4,95.3,94.4,94.55,94.85,94.94,179793,1706976680000.0,,107449,0.5976,sell,187.4787816187818,95745.10814167542,77885.1106252078
2009-12-02,ADANIPOWER,EQ,94.85,96.0,98.15,95.05,97.5,97.65,96.84,620567,6009482355000.0,,339820,0.5476,buy,841.4496858124955,96192.41365028184,13960.991571897146
2009-12-03,ADANIPOWER,EQ,97.65,98.25,99.45,97.5,98.6,98.6,98.57,519335,5119097810000.0,,287599,0.5538000000000001,sell,603.6519263276547,96927.93059300921,37384.40379801725
2009-12-04,ADANIPOWER,EQ,98.6,98.4,99.0,96.35,96.45,96.6,97.91,1001627,9806731930000.0,,818647,0.8173,sell,289.72204272200963,95697.17988126869,67679.70492756626
2009-12-07,ADANIPOWER,EQ,96.6,97.3,98.0,91.85,92.7,92.35,93.7,1125467,10545384990000.0,,801586,0.7122,buy,854.4252528518314,94435.53557294385,15477.213130621742
2009-12-08,ADANIPOWER,EQ,92.35,93.0,94.35,92.75,93.65,93.65,93.65,447492,4190968665000.0,,286485,0.6402,sell,513.740063404646,95494.13806019575,47350.47595435893
2009-12-09,ADANIPOWER,EQ,93.65,93.6,94.85,93.4,94.25,94.1,94.23,645040,6078074085000.0,,433218,0.6716,sell,81.33239314534308,95693.41592073612,87999.34816398793
2009-12-10,ADANIPOWER,EQ,94.1,94.9,95.9,94.25,95.55,95.55,95.31,620819,5917254640000.0,,484005,0.7796,buy,510.1375079393875,95770.65832902546,46986.04711669842
2009-12-11,ADANIPOWER,EQ,95.55,95.95,96.8,95.0,96.05,96.0,95.85,712497,6829417230000.0,,506126,0.7104,buy,914.1243677924991,95959.24787887963,8164.525832253807
2009-12-14,ADANIPOWER,EQ,96.0,96.0,97.0,95.3,96.8,96.6,96.27,251540,2421607610000.0,,177879,0.7072,sell,527.8911148645511,96468.93976100921,45437.34793286074
2009-12-15,ADANIPOWER,EQ,96.6,96.9,98.6,96.1,96.5,96.65,96.89,416657,4036821790000.0,,292861,0.7029000000000001,buy,667.3757407035871,96458.02418451961,31942.677656430576
2009-12-16,ADANIPOWER,EQ,96.65,96.5,96.8,95.5,96.75,96.4,96.26,146286,1408085730000.0,,95941,0.6558,sell,476.7750264911563,96277.69906025637,50298.21259765883
2009-12-17,ADANIPOWER,EQ,96.4,96.5,97.95,96.5,97.25,97.2,97.12,632803,6145786335000.0,,521809,0.8246,sell,180.53173524610844,96640.74517259921,79064.26565876846
2009-12-18,ADANIPOWER,EQ,97.2,96.4,97.7,95.55,96.75,96.9,97.02,541242,5251041585000.0,,420630,0.7772,buy,772.5833839014206,96557.79080411638,21637.091099314013
2009-12-21,ADANIPOWER,EQ,96.9,97.0,98.8,96.1,97.5,98.05,97.43,357688,3485124600000.0,,239751,0.6703,sell,488.1064139417592,97388.8918908483,49502.16503695426
2009-12-22,ADANIPOWER,EQ,98.05,98.6,99.7,95.05,97.0,97.0,98.43,969747,9544991830000.0,,375249,0.387,buy,747.100397156826,96848.4871893049,24354.626248720917
2009-12-23,ADANIPOWER,EQ,97.0,97.9,100.4,97.6,99.1,99.0,98.93,1050930,10396820940000.0,,442001,0.4206,buy,887.98343069966,98317.5655672467,10393.25850765962
2009-12-24,ADANIPOWER,EQ,99.0,98.85,100.0,98.5,99.0,99.0,99.18,343128,3403170685000.0,,177100,0.5161,sell,386.27911117699216,98303.61814692595,60012.31741277099
2009-12-29,ADANIPOWER,EQ,99.0,99.5,100.0,98.05,98.2,98.2,98.82,283173,2798440580000.0,,175852,0.621,sell,290.9908879318084,97944.92613035163,69360.26363192537
2009-12-30,ADANIPOWER,EQ,98.2,98.5,99.3,97.95,98.95,98.8,98.62,221324,2182724030000.0,,117095,0.5291,buy,889.6918017380696,98110.16335958804,10149.461697582708
2009-12-31,ADANIPOWER,EQ,98.8,99.5,99.7,98.55,98.85,99.0,99.1,208337,2064667350000.0,,122225,0.5867,sell,523.9814262892187,98228.95006965159,46318.583539849504
2010-01-04,ADANIPOWER,EQ,99.0,99.25,100.0,98.6,99.25,99.0,99.34,370563,3681111715000.0,,238931,0.6448,buy,726.8459675510288,98192.74474248214,26214.910365345386
2010-01-05,ADANIPOWER,EQ,99.0,99.9,112.9,99.5,105.7,105.05,106.35,8432683,89683934665000.0,,2145799,0.2545,sell,570.0084673583821,102570.07925658097,42674.21398118769
2010-01-06,ADANIPOWER,EQ,105.05,106.5,110.8,106.0,107.55,107.45,108.35,6297126,68231104890000.0,,2658818,0.4222,buy,925.4208855089469,103921.62379884585,4446.9605865792255
2010-01-07,ADANIPOWER,EQ,107.45,107.45,108.2,104.65,104.75,104.95,105.88,1229154,13014628540000.0,,462508,0.3763,sell,607.6378085766662,101569.8825207432,37764.943176698034
2010-01-08,ADANIPOWER,EQ,104.95,105.25,107.0,103.15,103.65,103.7,105.41,1033660,10895343415000.0,,290352,0.2809,sell,511.186671098088,100776.98392609833,47756.92415027006
2010-01-11,ADANIPOWER,EQ,103.7,104.85,107.75,104.15,106.0,105.8,105.96,1632993,17303168369999.998,,425494,0.2606,sell,390.1529096121817,101840.47395244776,60549.49074351374
2010-01-12,ADANIPOWER,EQ,105.8,106.4,106.85,103.1,103.4,103.45,105.17,1006179,10582294580000.0,,337303,0.3352,sell,129.88411083281142,100910.80924289394,87447.37317000587
2010-01-13,ADANIPOWER,EQ,103.45,102.75,104.0,101.55,102.1,101.9,102.52,852577,8740793134999.999,,427217,0.5011,buy,575.3592328795705,100682.56406386936,42008.064318504556
2010-01-14,ADANIPOWER,EQ,101.9,102.55,103.6,101.15,101.25,101.4,102.31,987479,10102423790000.0,,493880,0.5001,sell,43.216897370282254,100349.49053249302,95913.33790632575
2010-01-15,ADANIPOWER,EQ,101.4,101.8,102.5,101.1,101.35,101.55,101.77,845201,8601868925000.0,,473311,0.56,sell,33.25807043879581,100302.01383427791,96923.6454623433
2010-01-18,ADANIPOWER,EQ,101.55,101.9,102.0,100.3,101.0,101.1,101.28,734645,7440352845000.0,,400311,0.5449,buy,164.8620625137633,100286.03638370555,83605.1766999653
2010-01-19,ADANIPOWER,EQ,101.1,101.4,102.0,100.1,100.6,100.7,101.35,669310,6783728959999.999,,411842,0.6153000000000001,buy,414.01313077824034,100206.78639510127,58490.574613158235
2010-01-20,ADANIPOWER,EQ,100.7,101.5,103.5,100.45,100.7,101.1,101.81,1608907,16380394485000.0,,632058,0.3928,sell,74.5964233259084,100347.30213483833,92771.28870746556
2010-01-21,ADANIPOWER,EQ,101.1,100.95,101.75,100.05,101.2,100.8,100.93,842317,8501754990000.001,,524502,0.6227,buy,159.2113878124288,100290.60817871713,84233.57109880407
2010-01-22,ADANIPOWER,EQ,100.8,99.0,101.9,97.8,101.25,101.05,100.72,1924938,19387836390000.0,,1520447,0.7898999999999999,buy,512.7741667584561,100321.88183725,48470.32476749552
2010-01-25,ADANIPOWER,EQ,101.05,99.1,102.9,99.1,101.65,102.2,101.88,630087,6419623610000.0,,380908,0.6045,buy,888.8843549571405,100875.84461020974,9993.425072356069
2010-01-27,ADANIPOWER,EQ,102.2,101.8,102.65,99.0,100.2,99.65,100.57,731428,7355607534999.999,,495268,0.6770999999999999,sell,877.0174251576769,98570.75104383513,11174.7820873181
2010-01-28,ADANIPOWER,EQ,99.65,100.6,101.8,98.6,99.6,99.4,100.19,417980,4187849165000.0,,259344,0.6204999999999999,sell,378.2615302430875,98350.3141479912,60701.54170587378
2010-01-29,ADANIPOWER,EQ,99.4,99.0,101.9,95.0,101.9,100.0,99.98,8623751,86222867065000.0,,8437527,0.9784,buy,837.2024785576489,98527.69473018253,14761.5527795862
