time_step,open_price,close_price,cash,stock_held,net_worth,action,action_type,quantity
22,101.0,101.45,8381.580549031522,902.077662960592,99904.91731731975,0.9160287738057781,buy,74.43014014877372
23,101.5,101.35,88734.82620792008,108.45477851829514,99807.15169008751,0.11013130438748797,sell,793.7102871657522
24,98.55,100.4,93944.74248301811,56.51123861287146,99623.68597115691,0.056951600429389404,sell,51.946498173153266
25,100.9,100.85,11069.989253957,877.4528476142928,99643.9008971262,0.8880736190091647,buy,820.2125524157202
26,100.85,101.7,75733.46197035849,240.99069503495343,100306.94385633057,0.24433755772839216,sell,636.6176641872871
27,101.7,101.9,11434.512126962545,871.3608140562261,100290.41379442025,0.8853455040512501,buy,629.812023670509
28,102.0,102.05,67509.28767894956,321.32743376768644,100356.88320140043,0.3267485355258105,sell,550.2131028900392
29,101.0,100.8,16004.930745745114,831.7729102476,99899.09300273235,0.8392739797013461,buy,510.0170728734478
30,100.5,101.0,56089.579588763336,434.49792394428454,100013.99468075272,0.43878149711400427,sell,397.44930321657154
31,100.8,100.85,6500.496008824404,925.7179937103037,99908.69521854442,0.9344397848602418,buy,490.7610541897082
32,101.0,101.45,91934.0497090873,82.75029757392201,100414.58647073474,0.08360356780756217,sell,843.0381712433253
33,102.0,101.25,68832.51268132993,310.6856908498546,100312.5173384469,0.313589241235114,buy,227.86391518890457
34,101.2,101.95,7357.816256718266,913.0719894420096,100506.9188634726,0.9261819024624771,buy,601.8283793041077
35,101.6,101.8,78892.27359336181,209.6725454337228,100308.54478191482,0.2127900985061576,sell,703.5491204452665
36,102.55,100.1,32168.83942194991,675.9738183008348,99880.49539127747,0.6774593873091935,buy,465.9853726924939
37,100.8,100.3,22534.94474420879,771.9286578555086,99969.01339752364,0.7744844302407151,buy,95.88052402543246
38,101.0,100.8,70888.33263075523,291.75217297234724,100345.35345604405,0.29307404899913925,sell,480.3172121498202
39,101.45,100.3,46988.32919617725,529.7993046500214,100151.07557988167,0.530587115003203,buy,237.92082693684256
40,100.15,100.0,13082.69891560961,868.5168898704774,99968.25966117939,0.8687926476004744,buy,338.42330987280343
41,99.75,99.9,53183.050856664646,466.7101588045262,99847.5362136703,0.466955386508463,sell,401.9943568833576
42,100.0,100.45,78460.78199082134,214.813352748528,100064.08630857931,0.2156418159562966,sell,251.9511255406897
43,100.0,99.55,81426.81566564673,184.9891169122357,99845.4512569373,0.18444171824335898,sell,29.829736669595263
44,99.2,97.9,55701.36348814026,447.4993561878372,99537.2502113546,0.44013861019632294,buy,262.3946983837245
45,97.4,97.0,82667.77978618573,169.21678188110297,99108.80103836047,0.165616248713511,sell,278.3286624227733
46,96.0,95.4,95753.36585856712,31.91400664904282,98811.06077764295,0.03081230188561601,sell,137.30700584662034
